O2.pp,PQ
0.09,1.76
0.11,1.58
0.14,1.43
0.16,1.37
0.19,1.1
0.22,0.98
0.23,1.04
0.25,0.84
0.27,0.72
0.29,0.59
0.3,0.64
0.31,0.57
0.32,0.5
0.31,0.48
0.34,0.32
0.34,0.15
0.34,0.07
0.34,0.02
0.2,1.17
0.22,1.15
0.21,0.91
0.23,0.99
0.24,0.91
0.25,0.89
0.27,0.88
0.27,0.83
0.29,0.86
0.3,0.74
0.3,0.7
0.32,0.62
0.33,0.58
0.33,0.49
0.34,0.46
0.32,0.33
0.33,0.27
0.33,0.68
0.34,0.65
0.36,0.65
0.35,0.57
0.35,0.42
0.35,0.35
0.35,0.21
0.36,0.13
0.36,0.05
0.36,0.01
0.37,0.55
0.38,0.5
0.39,0.57
0.4,0.43
0.41,0.45
0.41,0.4
0.43,0.39
0.42,0.29
0.42,0.15
0.43,-0.02
