date,time,Temperature C,CO2,Battery Voltage
08-30-2021,15:45:56,18.35,,10.3
08-30-2021,15:49:58,18.37,610.8,10.94
08-30-2021,15:55:00,18.42,591.9,10.96
08-30-2021,16:00:03,18.49,547.3,10.96
08-30-2021,16:05:05,18.49,585.3,10.96
08-30-2021,16:09:59,18.47,579,10.93
08-30-2021,16:15:01,18.52,575.1,10.91
08-30-2021,16:20:04,18.57,570.1,10.94
08-30-2021,16:25:06,18.59,574.8,10.94
08-30-2021,16:30:00,18.59,546.5,10.95
08-30-2021,16:35:02,18.59,532.6,10.95
08-30-2021,16:40:05,18.64,578.5,10.95
08-30-2021,16:44:59,18.68,580.8,10.94
08-30-2021,16:50:01,18.73,536.6,10.96
08-30-2021,16:55:03,18.83,559.2,10.96
08-30-2021,17:00:06,18.83,517,10.96
08-30-2021,17:05:00,18.85,546,10.97
08-30-2021,17:10:02,18.85,477.9,10.98
08-30-2021,17:15:04,18.88,501.2,10.98
08-30-2021,17:19:58,18.92,488.9,10.95
08-30-2021,17:25:00,18.95,493.2,10.97
08-30-2021,17:30:03,18.97,485.9,10.98
08-30-2021,17:35:05,19.02,516.5,10.98
08-30-2021,17:39:59,19.02,531.3,10.98
08-30-2021,17:45:01,19.07,588.8,10.99
08-30-2021,17:50:04,19.21,509.5,10.99
08-30-2021,17:55:06,19.31,508.4,10.99
08-30-2021,18:00:00,19.36,491.1,10.99
08-30-2021,18:05:02,19.43,538.9,11
08-30-2021,18:10:05,19.45,517.4,11
08-30-2021,18:14:59,19.53,473.7,11
08-30-2021,18:20:01,19.57,479.6,11
08-30-2021,18:25:03,19.62,454.4,11.01
08-30-2021,18:30:06,19.57,436.2,11
08-30-2021,18:35:00,19.55,425.5,11
08-30-2021,18:40:02,19.55,461.4,11.01
08-30-2021,18:45:04,19.55,452.3,11.01
08-30-2021,18:49:58,19.57,454.6,11
08-30-2021,18:55:00,19.55,442,11.01
08-30-2021,19:00:03,19.6,438,11.01
08-30-2021,19:05:05,19.57,468.6,11.01
08-30-2021,19:09:59,19.55,461.8,11
08-30-2021,19:15:01,19.53,461.8,11.01
08-30-2021,19:20:04,19.53,543.2,11.01
08-30-2021,19:25:06,19.6,551,11.01
08-30-2021,19:30:00,19.62,475.3,11.01
08-30-2021,19:35:02,19.7,537.7,11.02
08-30-2021,19:40:05,19.82,525.7,11.02
08-30-2021,19:44:59,19.89,452.9,11.02
08-30-2021,19:50:01,19.96,464.5,11.02
08-30-2021,19:55:03,20.06,437.2,11.02
08-30-2021,20:00:06,20.16,439.1,11.02
08-30-2021,20:05:00,20.23,431.4,11.02
08-30-2021,20:10:02,20.18,424.8,11.02
08-30-2021,20:15:04,20.16,414.9,11.03
08-30-2021,20:19:58,20.18,424,11.03
08-30-2021,20:25:00,20.21,415.8,11.03
