"Date Time, GMT-06:00","Temp, °C (LGR S/N: 11007628, SEN S/N: 11007628, LBL: temp)","Intensity, Lux (LGR S/N: 11007628, SEN S/N: 11007628, LBL: luz)"
08-31-2021 09:25:48,20.424,1205.6
08-31-2021 09:26:18,20.71,839.6
08-31-2021 09:26:48,20.615,839.6
08-31-2021 09:27:18,20.519,721.2
08-31-2021 09:27:48,20.329,775
08-31-2021 09:28:18,20.424,165334.4
08-31-2021 09:28:48,20.71,22044.6
08-31-2021 09:29:18,20.996,22044.6
08-31-2021 09:29:48,21.091,22044.6
08-31-2021 09:30:18,21.091,22044.6
08-31-2021 09:30:48,21.091,22044.6
08-31-2021 09:31:18,20.996,22044.6
08-31-2021 09:31:48,20.996,22044.6
08-31-2021 09:32:18,20.996,22044.6
08-31-2021 09:32:48,20.805,11022.3
08-31-2021 09:33:18,20.805,22044.6
08-31-2021 09:33:48,20.805,22044.6
08-31-2021 09:34:18,20.71,22044.6
08-31-2021 09:34:48,20.71,22044.6
08-31-2021 09:35:18,20.71,22044.6
08-31-2021 09:35:48,20.615,22044.6
08-31-2021 09:36:18,20.615,22044.6
08-31-2021 09:36:48,20.615,22044.6
08-31-2021 09:37:18,20.71,22044.6
08-31-2021 09:37:48,20.71,22044.6
08-31-2021 09:38:18,20.71,22044.6
08-31-2021 09:38:48,20.71,22044.6
08-31-2021 09:39:18,20.805,22044.6
08-31-2021 09:39:48,20.805,23422.4
08-31-2021 09:40:18,20.805,22044.6
08-31-2021 09:40:48,20.805,22044.6
08-31-2021 09:41:18,20.805,22044.6
08-31-2021 09:41:48,20.901,22044.6
08-31-2021 09:42:18,20.901,23422.4
08-31-2021 09:42:48,20.996,23422.4
08-31-2021 09:43:18,20.996,23422.4
08-31-2021 09:43:48,21.091,26178
08-31-2021 09:44:18,21.091,22044.6
08-31-2021 09:44:48,21.187,26178
08-31-2021 09:45:18,21.187,22044.6
08-31-2021 09:45:48,21.282,22044.6
08-31-2021 09:46:18,21.282,23422.4
08-31-2021 09:46:48,21.282,23422.4
08-31-2021 09:47:18,21.378,23422.4
08-31-2021 09:47:48,21.378,23422.4
08-31-2021 09:48:18,21.378,23422.4
08-31-2021 09:48:48,21.378,23422.4
08-31-2021 09:49:18,21.378,22044.6
08-31-2021 09:49:48,22.621,82667.2
08-31-2021 09:50:18,22.812,82667.2
08-31-2021 09:50:48,24.062,82667.2
08-31-2021 09:51:18,24.545,82667.2
08-31-2021 09:51:48,24.255,82667.2
08-31-2021 09:52:18,25.319,82667.2
08-31-2021 09:52:48,25.902,82667.2
08-31-2021 09:53:18,26.39,82667.2
08-31-2021 09:53:48,26.781,82667.2
08-31-2021 09:54:18,27.075,85422.8
08-31-2021 09:54:48,27.468,85422.8
08-31-2021 09:55:18,27.862,88178.4
08-31-2021 09:55:48,28.159,88178.4
08-31-2021 09:56:18,28.456,93689.5
08-31-2021 09:56:48,28.655,93689.5
08-31-2021 09:57:18,28.258,19977.9
08-31-2021 09:57:48,27.862,88178.4
08-31-2021 09:58:18,28.456,93689.5
08-31-2021 09:58:48,28.555,88178.4
08-31-2021 09:59:18,29.053,93689.5
08-31-2021 09:59:48,29.252,93689.5
08-31-2021 10:00:18,29.352,99200.7
08-31-2021 10:00:48,28.853,27555.7
08-31-2021 10:01:18,28.258,27555.7
08-31-2021 10:01:48,27.862,28933.5
08-31-2021 10:02:18,27.468,28933.5
08-31-2021 10:02:48,26.977,28933.5
08-31-2021 10:03:18,26.683,28933.5
08-31-2021 10:03:48,26.195,28933.5
08-31-2021 10:04:18,25.805,28933.5
08-31-2021 10:04:48,25.61,28933.5
08-31-2021 10:05:18,25.416,28933.5
08-31-2021 10:05:48,25.222,28933.5
08-31-2021 10:06:18,24.931,28933.5
08-31-2021 10:06:48,24.738,28933.5
08-31-2021 10:07:18,24.545,10677.8
08-31-2021 10:07:48,24.255,31689.1
08-31-2021 10:08:18,23.966,28933.5
08-31-2021 10:08:48,23.869,30311.3
08-31-2021 10:09:18,23.966,33066.9
08-31-2021 10:09:48,23.869,30311.3
08-31-2021 10:10:18,23.484,33066.9
08-31-2021 10:10:48,23.581,34444.7
08-31-2021 10:11:18,23.581,34444.7
08-31-2021 10:11:48,23.581,31689.1
08-31-2021 10:12:18,23.677,34444.7
08-31-2021 10:12:48,23.773,34444.7
08-31-2021 10:13:18,23.773,34444.7
08-31-2021 10:13:48,23.869,33066.9
08-31-2021 10:14:18,24.062,49600.3
08-31-2021 10:14:48,24.062,39955.8
08-31-2021 10:15:18,23.773,46844.8
08-31-2021 10:15:48,24.158,44089.2
08-31-2021 10:16:18,23.484,46844.8
08-31-2021 10:16:48,24.158,44089.2
08-31-2021 10:17:18,24.448,38578
08-31-2021 10:17:48,24.351,74400.5
08-31-2021 10:18:18,24.351,38578
