date,start.time,end.time,metab,treatment,level,samplenum
08-30-2021,11:10:00,11:40:00,dark,vel,2,1
08-30-2021,11:50:00,12:20:00,light,vel,2,2
08-30-2021,12:45:00,13:15:00,dark,vel,3,3
08-30-2021,13:30:00,14:00:00,light,vel,3,4
08-30-2021,14:20:00,14:50:00,dark,vel,1,5
08-30-2021,15:10:00,15:40:00,light,vel,1,6
08-31-2021,10:40:00,11:10:00,dark,vel,3,7
08-31-2021,11:25:00,11:55:00,light,vel,3,8
08-31-2021,12:20:00,12:50:00,dark,vel,1,9
08-31-2021,13:15:00,13:45:00,light,vel,1,10
08-31-2021,14:10:00,14:40:00,dark,vel,2,11
08-31-2021,15:00:00,15:30:00,light,vel,2,12
09-02-2021,10:40:00,11:10:00,dark,vel,2,13
09-02-2021,12:15:00,12:45:00,light,vel,2,14
09-02-2021,13:10:00,13:40:00,dark,vel,1,15
09-02-2021,14:10:00,14:40:00,light,vel,1,16
09-02-2021,15:00:00,15:30:00,dark,vel,3,17
09-02-2021,15:50:00,16:20:00,light,vel,3,18
09-06-2021,11:05:00,11:35:00,dark,prod,2,19
09-06-2021,11:50:00,12:20:00,light,prod,2,20
09-06-2021,12:40:00,13:10:00,dark,prod,1,21
09-06-2021,13:25:00,13:55:00,light,prod,1,22
09-06-2021,14:15:00,14:45:00,dark,prod,3,23
09-06-2021,15:00:00,15:30:00,light,prod,3,24
09-07-2021,11:05:00,11:35:00,dark,prod,3,25
09-07-2021,11:50:00,12:20:00,light,prod,3,26
09-07-2021,12:50:00,13:20:00,dark,prod,2,27
09-07-2021,13:45:00,14:15:00,light,prod,2,28
09-07-2021,14:45:00,15:15:00,dark,prod,1,29
09-07-2021,15:35:00,16:05:00,light,prod,1,30
09-09-2021,11:15:00,11:45:00,dark,prod,1,31
09-09-2021,12:00:00,12:30:00,light,prod,1,32
09-09-2021,12:45:00,13:15:00,dark,prod,2,33
09-09-2021,13:30:00,14:00:00,light,prod,2,34
09-09-2021,14:15:00,14:45:00,dark,prod,3,35
09-09-2021,15:10:00,15:40:00,light,prod,3,36
