DATE,TIME,Barometer (mmHg),ODO (% Sat),ODO (mg/L),ODO (% Local),Temp (°F)
08-30-2021,09:40:33,683.2,89,8.73,91.7,61.3
08-30-2021,09:41:03,683.2,89,8.73,91.7,61.3
08-30-2021,09:41:33,683.2,89,8.73,91.7,61.3
08-30-2021,09:42:03,683.2,89,8.74,91.7,61.2
08-30-2021,09:42:33,683.2,89.4,8.76,92.1,61.4
08-30-2021,09:43:03,683.2,89.8,8.79,92.5,61.6
08-30-2021,09:43:33,683.2,90,8.8,92.8,61.6
08-30-2021,09:44:03,683.2,90.2,8.81,92.9,61.7
08-30-2021,09:44:33,683.2,90.3,8.82,93.1,61.7
08-30-2021,09:45:03,683.2,90.5,8.83,93.2,61.8
08-30-2021,09:45:33,683.2,90.6,8.84,93.4,61.8
08-30-2021,09:46:03,683.2,90.7,8.84,93.5,61.9
08-30-2021,09:46:33,683.2,90.9,8.85,93.7,62
08-30-2021,09:47:03,683.2,91.1,8.86,93.8,62
08-30-2021,09:47:33,683.2,91.2,8.87,94,62.1
08-30-2021,09:48:03,683.2,91.3,8.87,94.1,62.1
08-30-2021,09:48:33,683.2,91.5,8.88,94.3,62.2
08-30-2021,09:49:03,683.2,91.7,8.89,94.4,62.3
08-30-2021,09:49:33,683.2,91.8,8.9,94.6,62.3
08-30-2021,09:50:03,683.2,92,8.91,94.8,62.4
08-30-2021,09:50:33,683.2,92.1,8.92,94.9,62.5
08-30-2021,09:51:03,683.2,92.2,8.92,95,62.5
08-30-2021,09:51:33,683.2,92.4,8.93,95.2,62.6
08-30-2021,09:52:03,683.2,92.5,8.94,95.3,62.6
08-30-2021,09:52:33,683.2,92.6,8.94,95.4,62.7
08-30-2021,09:53:03,683.2,92.8,8.96,95.6,62.7
08-30-2021,09:53:33,683.2,92.9,8.96,95.8,62.8
08-30-2021,09:54:03,683.2,93,8.97,95.8,62.8
08-30-2021,09:54:33,683.2,93,8.98,95.9,62.7
08-30-2021,09:55:03,683.2,92.9,8.98,95.8,62.6
08-30-2021,09:55:33,683.2,92.8,8.98,95.6,62.5
08-30-2021,09:56:03,683.2,92.9,8.98,95.7,62.6
08-30-2021,09:56:33,683.2,92.9,8.98,95.7,62.5
08-30-2021,09:57:03,683.2,92.8,8.98,95.6,62.5
08-30-2021,09:57:33,683.2,92.9,8.98,95.7,62.6
08-30-2021,09:58:03,683.2,92.9,8.98,95.8,62.6
08-30-2021,09:58:33,683.2,93,8.98,95.9,62.7
08-30-2021,09:59:03,683.2,93.2,8.99,96,62.8
08-30-2021,09:59:33,683.2,93.3,8.99,96.1,62.8
08-30-2021,10:00:03,683.2,93.4,9,96.2,62.9
08-30-2021,10:00:33,683.2,93.5,9,96.3,62.9
08-30-2021,10:01:03,683.2,93.7,9.01,96.5,63
08-30-2021,10:01:33,683.2,93.8,9.02,96.6,63
08-30-2021,10:02:03,683.2,93.9,9.02,96.7,63.1
08-30-2021,10:02:33,683.2,94,9.03,96.9,63.1
08-30-2021,10:03:03,683.1,94.1,9.03,96.9,63.2
08-30-2021,10:03:33,683.2,94.2,9.04,97,63.2
08-30-2021,10:04:03,683.1,94.3,9.04,97.1,63.3
08-30-2021,10:04:33,683.2,94.4,9.05,97.2,63.3
08-30-2021,10:05:03,683.1,94.4,9.05,97.3,63.4
08-30-2021,10:05:33,683.2,94.5,9.05,97.4,63.4
08-30-2021,10:06:03,683.2,94.6,9.06,97.5,63.5
08-30-2021,10:06:33,683.1,94.9,9.07,97.8,63.5
08-30-2021,10:07:03,683,95,9.08,97.8,63.6
08-30-2021,10:07:33,683.2,95.1,9.08,98,63.6
08-30-2021,10:08:03,683.2,95.3,9.09,98.2,63.7
08-30-2021,10:08:33,683.1,95.4,9.1,98.3,63.8
08-30-2021,10:09:03,683.2,95.5,9.1,98.4,63.8
08-30-2021,10:09:33,683.1,95.5,9.1,98.4,63.8
08-30-2021,10:10:03,683.2,95.6,9.11,98.5,63.8
08-30-2021,10:10:33,683.2,95.6,9.11,98.5,63.9
08-30-2021,10:11:03,683.1,95.7,9.11,98.6,63.9
08-30-2021,10:11:33,683.1,95.9,9.12,98.8,64
08-30-2021,10:12:03,683.2,96,9.13,98.9,64
08-30-2021,10:12:33,683.1,96.1,9.13,99,64.1
08-30-2021,10:13:03,683,96.2,9.14,99.2,64.1
08-30-2021,10:13:33,683.1,96.3,9.14,99.3,64.2
08-30-2021,10:14:03,683.1,96.4,9.15,99.4,64.2
08-30-2021,10:14:33,683,96.5,9.15,99.5,64.3
08-30-2021,10:15:03,683,96.6,9.16,99.6,64.3
08-30-2021,10:15:33,683,96.7,9.17,99.7,64.3
08-30-2021,10:16:03,683,96.8,9.17,99.7,64.4
08-30-2021,10:16:33,683,96.9,9.17,99.8,64.4
08-30-2021,10:17:03,683,97,9.18,99.9,64.4
08-30-2021,10:17:33,683,97,9.18,100,64.4
08-30-2021,10:18:03,683,97.1,9.19,100.1,64.5
08-30-2021,10:18:33,683,97.2,9.19,100.1,64.5
08-30-2021,10:19:03,683,97.3,9.2,100.2,64.5
08-30-2021,10:19:33,683,97.3,9.21,100.3,64.5
08-30-2021,10:20:03,683,97.4,9.21,100.3,64.5
08-30-2021,10:20:33,683,97.4,9.21,100.4,64.5
08-30-2021,10:21:03,683,97.4,9.21,100.4,64.5
08-30-2021,10:21:33,682.9,97.4,9.21,100.4,64.5
08-30-2021,10:22:03,683,97.4,9.21,100.4,64.5
08-30-2021,10:22:33,683.1,97.3,9.2,100.3,64.5
08-30-2021,10:23:03,683.1,97.2,9.19,100.2,64.5
08-30-2021,10:23:33,683,97.1,9.18,100.1,64.5
08-30-2021,10:24:03,682.9,97.1,9.18,100.1,64.6
08-30-2021,10:24:33,683,97.1,9.18,100.1,64.5
08-30-2021,10:25:03,683,97.1,9.18,100,64.5
08-30-2021,10:25:33,683.1,97.1,9.18,100,64.5
08-30-2021,10:26:03,683,97.1,9.17,100,64.5
08-30-2021,10:26:33,683.1,97,9.17,100,64.5
08-30-2021,10:27:03,683,97,9.17,99.9,64.5
08-30-2021,10:27:33,683,97.1,9.17,100,64.6
08-30-2021,10:28:03,683.2,97.2,9.18,100.1,64.6
08-30-2021,10:28:33,683.1,97.2,9.18,100.1,64.6
08-30-2021,10:29:03,683.1,97.2,9.18,100.1,64.6
08-30-2021,10:29:33,683.1,97.2,9.18,100.2,64.6
08-30-2021,10:30:03,683.2,97.2,9.18,100.1,64.7
08-30-2021,10:30:33,683.1,97.2,9.18,100.2,64.7
08-30-2021,10:31:03,683.1,97.2,9.18,100.2,64.7
08-30-2021,10:31:33,683.2,97.2,9.17,100.1,64.7
08-30-2021,10:32:03,683.2,97.1,9.17,100.1,64.7
08-30-2021,10:32:33,683.2,97,9.16,100,64.7
08-30-2021,10:33:03,683,97,9.16,100,64.7
08-30-2021,10:33:33,683.2,97,9.16,99.9,64.7
08-30-2021,10:34:03,683.2,96.9,9.15,99.9,64.7
08-30-2021,10:34:33,683.2,97,9.15,99.9,64.7
08-30-2021,10:35:03,683.2,97.1,9.16,100,64.7
08-30-2021,10:35:33,683.1,97.2,9.16,100.1,64.7
08-30-2021,10:36:03,683.2,97.1,9.16,100.1,64.7
08-30-2021,10:36:33,683.2,97.2,9.16,100.1,64.7
08-30-2021,10:37:03,683.2,97.1,9.16,100.1,64.7
08-30-2021,10:37:33,683.1,97.1,9.16,100.1,64.8
08-30-2021,10:38:03,683.1,97.1,9.16,100,64.8
08-30-2021,10:38:33,683,97.1,9.16,100.1,64.8
08-30-2021,10:39:03,683.1,97.1,9.16,100.1,64.8
08-30-2021,10:39:33,683,97.1,9.15,100,64.8
08-30-2021,10:40:03,683.1,97.1,9.15,100,64.8
08-30-2021,10:40:33,683.1,97.1,9.15,100,64.8
08-30-2021,10:41:03,683,97.1,9.15,100.1,64.8
08-30-2021,10:41:33,683,97.1,9.15,100.1,64.8
08-30-2021,10:42:03,683.1,97.1,9.15,100.1,64.9
08-30-2021,10:42:33,683.1,97.1,9.14,100.1,64.9
08-30-2021,10:43:03,682.9,97.1,9.14,100.1,65
08-30-2021,10:43:33,682.9,97.2,9.14,100.2,65
08-30-2021,10:44:03,682.9,97.2,9.14,100.2,65.1
08-30-2021,10:44:33,682.9,97.3,9.14,100.3,65.1
08-30-2021,10:45:03,682.9,97.3,9.14,100.3,65.1
08-30-2021,10:45:33,683,97.3,9.14,100.3,65.2
08-30-2021,10:46:03,682.9,97.4,9.14,100.4,65.2
08-30-2021,10:46:33,682.9,97.5,9.15,100.5,65.2
08-30-2021,10:47:03,682.9,97.6,9.15,100.6,65.3
08-30-2021,10:47:33,683,97.7,9.15,100.6,65.3
08-30-2021,10:48:03,682.9,97.8,9.16,100.8,65.4
08-30-2021,10:48:33,682.9,97.9,9.16,100.8,65.4
08-30-2021,10:49:03,682.9,98,9.17,101,65.4
08-30-2021,10:49:33,682.9,98.1,9.17,101.1,65.5
08-30-2021,10:50:03,682.9,98.2,9.18,101.2,65.5
08-30-2021,10:50:33,682.9,98.3,9.19,101.3,65.6
08-30-2021,10:51:03,682.9,98.5,9.2,101.5,65.6
08-30-2021,10:51:33,682.9,98.8,9.22,101.8,65.7
08-30-2021,10:52:03,682.9,99,9.23,102,65.7
08-30-2021,10:52:33,682.9,99.1,9.24,102.2,65.8
08-30-2021,10:53:03,683,99.2,9.25,102.3,65.8
08-30-2021,10:53:33,682.9,99.4,9.26,102.5,65.8
08-30-2021,10:54:03,682.9,99.5,9.27,102.6,65.9
08-30-2021,10:54:33,682.9,99.7,9.28,102.7,65.9
08-30-2021,10:55:03,682.9,99.8,9.29,102.8,65.9
08-30-2021,10:55:33,682.9,99.9,9.29,102.9,66
08-30-2021,10:56:03,682.9,100,9.3,103,66
08-30-2021,10:56:33,682.9,100.1,9.31,103.2,66
08-30-2021,10:57:03,682.9,100.2,9.31,103.3,66.1
08-30-2021,10:57:33,682.9,100.4,9.32,103.4,66.1
08-30-2021,10:58:03,682.9,100.5,9.33,103.5,66.1
08-30-2021,10:58:33,682.9,100.6,9.33,103.6,66.1
08-30-2021,10:59:03,682.9,100.6,9.34,103.7,66.1
08-30-2021,10:59:33,682.9,100.6,9.34,103.7,66.2
08-30-2021,11:00:03,682.9,100.6,9.34,103.7,66.2
08-30-2021,11:00:33,682.9,100.6,9.33,103.6,66.2
08-30-2021,11:01:03,682.9,100.5,9.33,103.6,66.2
