date,GPP.daily,ER.daily,GPP.daily.lower,GPP.daily.upper,ER.daily.lower,ER.daily.upper,K600.daily,K600.daily.lower,K600.daily.upper,P:R,GPP-ER,mols.O2,mols.CO2,NEP
8/8/2020,3.2221891,-3.633921,2.86526859,3.5671624,-4.121162,-3.132986,4.902363,4.277223,5.594889,0.886697619,-0.4117319,-0.012866622,-0.010936629,-0.131239543
8/9/2020,3.4322833,-3.719332,3.0802543,3.7802564,-4.166648,-3.238051,4.64649,4.023937,5.255064,0.922822512,-0.2870487,-0.008970272,-0.007624731,-0.091496773
8/10/2020,3.9074707,-4.055639,3.53367087,4.2498764,-4.519588,-3.559509,4.639298,4.064577,5.164958,0.963466102,-0.1481683,-0.004630259,-0.00393572,-0.047228646
8/11/2020,4.1009752,-4.295081,3.75947771,4.4256927,-4.723982,-3.833148,4.608209,4.101155,5.1412,0.954807418,-0.1941058,-0.006065806,-0.005155935,-0.061871224
8/12/2020,3.6597268,-3.82288,3.32569879,4.0060864,-4.301322,-3.346103,4.4957,3.882744,5.105846,0.957321914,-0.1631532,-0.005098538,-0.004333757,-0.052005083
8/13/2020,3.5455991,-3.629919,3.21907174,3.8783337,-4.066547,-3.189828,4.570755,3.974857,5.278189,0.976770859,-0.0843199,-0.002634997,-0.002239747,-0.026876968
8/14/2020,3.7568287,-3.837643,3.4617505,4.0905731,-4.261536,-3.419054,4.727582,4.209356,5.310583,0.978941684,-0.0808143,-0.002525447,-0.00214663,-0.025759558
8/15/2020,4.0201599,-4.096611,3.66489091,4.345652,-4.548478,-3.652624,4.581875,4.044837,5.096831,0.981337964,-0.0764511,-0.002389097,-0.002030732,-0.024368788
8/16/2020,4.344247,-4.39945,4.00468264,4.6859155,-4.85593,-3.96604,5.026136,4.472734,5.569677,0.987452295,-0.055203,-0.001725094,-0.00146633,-0.017595956
8/17/2020,4.195794,-4.236661,3.88824888,4.5256197,-4.673838,-3.787923,4.133877,3.677878,4.61782,0.99035396,-0.040867,-0.001277094,-0.00108553,-0.013026356
8/18/2020,3.214981,-3.501389,2.91126444,3.4876114,-3.934555,-3.040865,2.668589,2.243248,3.111657,0.918201605,-0.286408,-0.00895025,-0.007607713,-0.09129255
8/19/2020,4.1133415,-4.461476,3.77847595,4.4152297,-4.902746,-3.989462,3.747232,3.267487,4.227065,0.921968761,-0.3481345,-0.010879203,-0.009247323,-0.110967872
8/20/2020,4.2305228,-4.172403,3.92415959,4.560535,-4.600162,-3.750575,4.168597,3.700575,4.636363,1.013929575,0.0581198,0.001816244,0.001543807,0.018525686
8/21/2020,4.4183282,-4.694205,4.08628175,4.7716643,-5.207759,-4.217751,4.975069,4.458269,5.511563,0.941230347,-0.2758768,-0.00862115,-0.007327977,-0.08793573
8/22/2020,4.1962479,-4.208596,3.88998965,4.5557993,-4.666626,-3.760934,4.274455,3.797907,4.787998,0.997065981,-0.0123481,-0.000385878,-0.000327996,-0.003935957
8/23/2020,4.3359433,-4.453089,4.0047968,4.6655997,-4.912698,-4.004288,4.496767,4.0164,5.007186,0.973693385,-0.1171457,-0.003660803,-0.003111683,-0.037340192
8/24/2020,4.25759,-5.939249,3.81293276,4.7065158,-6.650835,-5.231045,7.967401,6.982863,8.988165,0.716856626,-1.681659,-0.052551844,-0.044669067,-0.536028806
8/25/2020,2.1340544,-3.020209,1.83656171,2.4468195,-3.581271,-2.480631,4.822022,3.967298,5.766593,0.70659163,-0.8861546,-0.027692331,-0.023538482,-0.282461779
8/26/2020,4.1151031,-4.422031,3.78027432,4.4295298,-4.858811,-3.973479,4.767028,4.212099,5.325903,0.930591192,-0.3069279,-0.009591497,-0.008152772,-0.097833268
8/27/2020,4.0814325,-4.25804,3.74912229,4.3905087,-4.683783,-3.821491,4.611928,4.076362,5.148273,0.958523757,-0.1766075,-0.005518984,-0.004691137,-0.056293641
8/28/2020,4.0477618,-4.094049,3.71797027,4.3514877,-4.508755,-3.669502,4.456829,3.940626,4.970643,0.988694029,-0.0462872,-0.001446475,-0.001229504,-0.014754045
8/29/2020,3.9073501,-4.167495,3.58615323,4.1877151,-4.582978,-3.720758,4.590873,4.073522,5.107516,0.937577634,-0.2601449,-0.008129528,-0.006910099,-0.082921187
8/30/2020,3.7154271,-3.925314,3.40634124,4.0175554,-4.382131,-3.481449,4.260077,3.711583,4.803765,0.946529908,-0.2098869,-0.006558966,-0.005575121,-0.066901449
8/31/2020,3.0811128,-3.557731,2.78735689,3.3565326,-4.031296,-3.093737,3.975304,3.361245,4.643033,0.866033098,-0.4766182,-0.014894319,-0.012660171,-0.151922051
9/1/2020,3.2302629,-3.752041,2.92167706,3.5487044,-4.210205,-3.300172,4.720485,4.11409,5.334354,0.860934862,-0.5217781,-0.016305566,-0.013859731,-0.166316769
9/2/2020,3.632769,-4.071325,3.30637333,3.9418495,-4.511292,-3.601752,4.592051,4.018656,5.121701,0.892281751,-0.438556,-0.013704875,-0.011649144,-0.139789725
9/3/2020,3.9092456,-4.119532,3.62063244,4.2140067,-4.546001,-3.714226,4.363576,3.870291,4.867326,0.948953813,-0.2102864,-0.00657145,-0.005585733,-0.06702879
9/4/2020,4.2624571,-4.377253,3.96498064,4.5567036,-4.797457,-3.942435,4.534887,4.052804,5.03507,0.973774443,-0.1147959,-0.003587372,-0.003049266,-0.036591193
9/5/2020,4.0203608,-4.143571,3.73585735,4.3256037,-4.59285,-3.742823,4.363015,3.85404,4.870161,0.970264731,-0.1232102,-0.003850319,-0.003272771,-0.039273251
9/6/2020,4.2281714,-4.385622,3.93673434,4.5238496,-4.810687,-3.95011,4.418539,3.898071,4.926421,0.964098456,-0.1574506,-0.004920331,-0.004182282,-0.050187379
9/7/2020,1.5411484,-1.781577,1.28114559,1.8247801,-2.233661,-1.325911,2.609563,2.04703,3.251677,0.865047315,-0.2404286,-0.007513394,-0.006386385,-0.076636616
9/8/2020,3.3445589,-3.298737,3.04377335,3.6159218,-3.68745,-2.894886,4.79282,4.161913,5.389064,1.013890741,0.0458219,0.001431934,0.001217144,0.014605731
9/9/2020,3.4314936,-3.674757,3.13554263,3.6947507,-4.070374,-3.243669,4.647712,4.069718,5.232007,0.9338015,-0.2432634,-0.007601981,-0.006461684,-0.077540209
9/10/2020,3.6465097,-3.937971,3.36956612,3.9501613,-4.361901,-3.516615,4.568441,4.010903,5.073371,0.925986936,-0.2914613,-0.009108166,-0.007741941,-0.092903289
9/11/2020,3.7711553,-4.045183,3.49275857,4.0438488,-4.455452,-3.63494,4.453399,3.936207,4.979393,0.932258269,-0.2740277,-0.008563366,-0.007278861,-0.087346329
9/12/2020,3.9342349,-4.210855,3.62762588,4.2274987,-4.668866,-3.786593,4.523056,4.015952,5.065356,0.934307854,-0.2766201,-0.008644378,-0.007347721,-0.088172657
9/13/2020,3.4051976,-3.794236,3.12661589,3.6904845,-4.241777,-3.329629,4.174987,3.651279,4.724102,0.897465946,-0.3890384,-0.01215745,-0.010333833,-0.12400599
9/14/2020,2.9386742,-3.530396,2.64404602,3.2294508,-3.981539,-3.08193,4.841137,4.136073,5.578329,0.83239223,-0.5917218,-0.018491306,-0.01571761,-0.188611324
9/15/2020,3.2498582,-3.579833,2.96592761,3.5631007,-4.032647,-3.164832,4.764991,4.134743,5.474714,0.907823968,-0.3299748,-0.010311713,-0.008764956,-0.105179468
9/16/2020,3.4601289,-3.775835,3.19426099,3.7488721,-4.203571,-3.360977,4.576239,4.029354,5.14124,0.916387739,-0.3157061,-0.009865816,-0.008385943,-0.100631319
9/17/2020,3.3551464,-3.751555,3.0906227,3.6565249,-4.204593,-3.321947,4.559694,3.91848,5.194103,0.894334856,-0.3964086,-0.012387769,-0.010529603,-0.126355241
