ROW,PROJECT,DATE (DD-MMM-YYYY),DAY,MONTH,YEAR,SITE,REP,NH4N(mg/L),SRP(mg/L)
1,LTREB,10/25/2019,25,10,2019,1,a,0.007,0.001
2,LTREB,10/25/2019,25,10,2019,1,b,0.008,0.003
3,LTREB,10/25/2019,25,10,2019,1,c,0.008,0.001
4,LTREB,10/25/2019,25,10,2019,2,a,0.006,0.003
5,LTREB,10/25/2019,25,10,2019,2,b,0.006,0.005
6,LTREB,10/25/2019,25,10,2019,2,c,0.005,0.002
7,LTREB,10/25/2019,25,10,2019,3,a,0.004,0.002
8,LTREB,10/25/2019,25,10,2019,3,b,0.003,0.004
9,LTREB,10/25/2019,25,10,2019,3,c,0.004,0.003
10,LTREB,10/25/2019,25,10,2019,4,a,0.006,0.005
11,LTREB,10/25/2019,25,10,2019,4,b,0.008,0.008
12,LTREB,10/25/2019,25,10,2019,4,c,0.006,0.006
13,LTREB,10/25/2019,25,10,2019,5,a,0.004,0.004
14,LTREB,10/25/2019,25,10,2019,5,b,0.009,0.006
15,LTREB,10/25/2019,25,10,2019,5,c,0.008,0.005
16,LTREB,10/25/2019,25,10,2019,6,a,0.007,0.004
17,LTREB,10/25/2019,25,10,2019,6,b,0.008,0.005
18,LTREB,10/25/2019,25,10,2019,6,c,0.008,0.002
19,LTREB,10/25/2019,25,10,2019,7,a,0.005,0.005
20,LTREB,10/25/2019,25,10,2019,7,b,0.005,0.006
21,LTREB,10/25/2019,25,10,2019,7,c,0.007,0.009
22,LTREB,10/25/2019,25,10,2019,8,a,0.003,0.006
23,LTREB,10/25/2019,25,10,2019,8,b,0.004,0.007
24,LTREB,10/25/2019,25,10,2019,8,c,0.005,0.005
25,LTREB,10/25/2019,25,10,2019,9,a,0.006,0.006
26,LTREB,10/25/2019,25,10,2019,9,b,0.007,0.004
27,LTREB,10/25/2019,25,10,2019,9,c,0.004,0.008
28,LTREB,10/25/2019,25,10,2019,10,a,0.005,0.006
29,LTREB,10/25/2019,25,10,2019,10,b,0.006,0.007
30,LTREB,10/25/2019,25,10,2019,10,c,0.007,0.006
31,LTREB,10/25/2019,25,10,2019,11,a,0.004,0.007
32,LTREB,10/25/2019,25,10,2019,11,b,0.004,0.007
33,LTREB,10/25/2019,25,10,2019,11,c,0.006,0.007
34,LTREB,10/25/2019,25,10,2019,12,a,0.004,0.009
35,LTREB,10/25/2019,25,10,2019,12,b,0.007,0.007
36,LTREB,10/25/2019,25,10,2019,12,c,0.006,0.008
37,LTREB,10/25/2019,25,10,2019,13,a,0.006,0.009
38,LTREB,10/25/2019,25,10,2019,13,b,0.006,0.006
39,LTREB,10/25/2019,25,10,2019,13,c,0.005,0.006
40,LTREB,11/22/2019,22,11,2019,1,a,0.011,0.007
41,LTREB,11/22/2019,22,11,2019,1,b,0.009,0.000
42,LTREB,11/22/2019,22,11,2019,1,c,0.013,0.000
43,LTREB,11/22/2019,22,11,2019,2,a,0.007,0.003
44,LTREB,11/22/2019,22,11,2019,2,b,0.006,0.000
45,LTREB,11/22/2019,22,11,2019,2,c,0.009,0.001
46,LTREB,11/22/2019,22,11,2019,3,a,0.007,0.001
47,LTREB,11/22/2019,22,11,2019,3,b,0.007,0.003
48,LTREB,11/22/2019,22,11,2019,3,c,0.007,0.003
49,LTREB,11/22/2019,22,11,2019,4,a,0.006,0.000
50,LTREB,11/22/2019,22,11,2019,4,b,0.007,0.003
51,LTREB,11/22/2019,22,11,2019,4,c,0.008,0.005
52,LTREB,11/22/2019,22,11,2019,5,a,0.007,0.010
53,LTREB,11/22/2019,22,11,2019,5,b,0.007,0.008
54,LTREB,11/22/2019,22,11,2019,5,c,0.006,0.005
55,LTREB,11/22/2019,22,11,2019,6,a,0.006,0.001
56,LTREB,11/22/2019,22,11,2019,6,b,0.004,0.005
57,LTREB,11/22/2019,22,11,2019,6,c,0.004,0.005
58,LTREB,11/22/2019,22,11,2019,7,a,0.004,0.006
59,LTREB,11/22/2019,22,11,2019,7,b,0.006,0.006
60,LTREB,11/22/2019,22,11,2019,7,c,0.007,0.005
61,LTREB,11/22/2019,22,11,2019,8,a,0.005,0.005
62,LTREB,11/22/2019,22,11,2019,8,b,0.004,0.006
63,LTREB,11/22/2019,22,11,2019,8,c,0.003,0.006
64,LTREB,11/22/2019,22,11,2019,9,a,0.002,0.006
65,LTREB,11/22/2019,22,11,2019,9,b,0.004,0.006
66,LTREB,11/22/2019,22,11,2019,9,c,0.003,0.007
67,LTREB,11/22/2019,22,11,2019,10,a,0.003,0.008
68,LTREB,11/22/2019,22,11,2019,10,b,0.003,0.008
69,LTREB,11/22/2019,22,11,2019,10,c,0.003,0.009
70,LTREB,11/22/2019,22,11,2019,11,a,0.004,0.009
71,LTREB,11/22/2019,22,11,2019,11,b,0.004,0.008
72,LTREB,11/22/2019,22,11,2019,11,c,0.004,0.008
73,LTREB,11/22/2019,22,11,2019,12,a,0.004,0.010
74,LTREB,11/22/2019,22,11,2019,12,b,0.003,0.010
75,LTREB,11/22/2019,22,11,2019,12,c,0.003,0.010
76,LTREB,11/22/2019,22,11,2019,13,a,0.003,0.009
77,LTREB,11/22/2019,22,11,2019,13,b,0.003,0.009
78,LTREB,11/22/2019,22,11,2019,13,c,0.003,0.008
79,LTREB,12/9/2019,9,12,2019,1,a,0.006,0.009
80,LTREB,12/9/2019,9,12,2019,1,b,0.007,0.009
81,LTREB,12/9/2019,9,12,2019,1,c,0.011,0.010
82,LTREB,12/9/2019,9,12,2019,2,a,0.006,0.009
83,LTREB,12/9/2019,9,12,2019,2,b,0.005,0.010
84,LTREB,12/9/2019,9,12,2019,2,c,0.006,0.008
85,LTREB,12/9/2019,9,12,2019,3,a,0.004,0.007
86,LTREB,12/9/2019,9,12,2019,3,b,0.004,0.007
87,LTREB,12/9/2019,9,12,2019,3,c,0.006,0.009
88,LTREB,12/9/2019,9,12,2019,4,a,0.005,0.008
89,LTREB,12/9/2019,9,12,2019,4,b,0.005,0.007
90,LTREB,12/9/2019,9,12,2019,4,c,0.005,0.007
91,LTREB,12/9/2019,9,12,2019,5,a,0.004,0.007
92,LTREB,12/9/2019,9,12,2019,5,b,0.003,0.007
93,LTREB,12/9/2019,9,12,2019,5,c,0.005,0.008
94,LTREB,12/9/2019,9,12,2019,6,a,0.005,0.008
95,LTREB,12/9/2019,9,12,2019,6,b,0.006,0.009
96,LTREB,12/9/2019,9,12,2019,6,c,0.006,0.008
97,LTREB,12/9/2019,9,12,2019,7,a,0.004,0.008
98,LTREB,12/9/2019,9,12,2019,7,b,0.006,0.008
99,LTREB,12/9/2019,9,12,2019,7,c,0.006,0.007
100,LTREB,12/9/2019,9,12,2019,8,a,0.005,0.009
101,LTREB,12/9/2019,9,12,2019,8,b,0.004,0.008
102,LTREB,12/9/2019,9,12,2019,8,c,0.005,0.007
103,LTREB,12/9/2019,9,12,2019,9,a,0.006,0.008
104,LTREB,12/9/2019,9,12,2019,9,b,0.020,0.010
105,LTREB,12/9/2019,9,12,2019,9,c,0.005,0.006
106,LTREB,12/9/2019,9,12,2019,10,a,0.006,0.010
107,LTREB,12/9/2019,9,12,2019,10,b,0.007,0.011
