ROW,PROJECT,DATE (DD-MMM-YYYY),DAY,MONTH,YEAR,SITE,REP,NO3N(mg/L)
1,LTREB,8/3/2020,3,8,2020,Blank,a,0.004
2,LTREB,8/3/2020,3,8,2020,1,a,0.023
3,LTREB,8/3/2020,3,8,2020,1,b,0.018
4,LTREB,8/3/2020,3,8,2020,1,c,0.018
5,LTREB,8/3/2020,3,8,2020,2,a,0.009
6,LTREB,8/3/2020,3,8,2020,2,b,0.008
7,LTREB,8/3/2020,3,8,2020,2,c,0.011
8,LTREB,8/3/2020,3,8,2020,3,a,0.005
9,LTREB,8/3/2020,3,8,2020,3,b,0.005
10,LTREB,8/3/2020,3,8,2020,3,c,0.004
11,LTREB,8/3/2020,3,8,2020,4,a,0.006
12,LTREB,8/3/2020,3,8,2020,4,b,0.007
13,LTREB,8/3/2020,3,8,2020,4,c,0.007
14,LTREB,8/3/2020,3,8,2020,5,a,0.027
15,LTREB,8/3/2020,3,8,2020,5,b,0.03
16,LTREB,8/3/2020,3,8,2020,5,c,0.031
17,LTREB,8/3/2020,3,8,2020,6,a,0.056
18,LTREB,8/3/2020,3,8,2020,6,b,0.055
19,LTREB,8/3/2020,3,8,2020,6,c,0.057
20,LTREB,8/3/2020,3,8,2020,7,a,0.006
21,LTREB,8/3/2020,3,8,2020,7,b,0.007
22,LTREB,8/3/2020,3,8,2020,7,c,0.007
23,LTREB,8/3/2020,3,8,2020,8,a,0.005
24,LTREB,8/3/2020,3,8,2020,8,b,0.004
25,LTREB,8/3/2020,3,8,2020,8,c,0.005
26,LTREB,8/3/2020,3,8,2020,8ad,a,0.003
27,LTREB,8/3/2020,3,8,2020,8ad,b,0.004
28,LTREB,8/3/2020,3,8,2020,8ad,c,0.004
29,LTREB,8/3/2020,3,8,2020,9,a,0.002
30,LTREB,8/3/2020,3,8,2020,9,b,0.003
31,LTREB,8/3/2020,3,8,2020,9,c,0.003
32,LTREB,8/3/2020,3,8,2020,9am,a,0.012
33,LTREB,8/3/2020,3,8,2020,9am,b,0.012
34,LTREB,8/3/2020,3,8,2020,9am,c,0.013
35,LTREB,8/3/2020,3,8,2020,10,a,0.003
36,LTREB,8/3/2020,3,8,2020,10,b,0.003
37,LTREB,8/3/2020,3,8,2020,10,c,0.003
38,LTREB,8/3/2020,3,8,2020,11,a,0.003
39,LTREB,8/3/2020,3,8,2020,11,b,0.003
40,LTREB,8/3/2020,3,8,2020,11,c,0.003
41,LTREB,8/3/2020,3,8,2020,11af,a,0.007
42,LTREB,8/3/2020,3,8,2020,11af,b,0.008
43,LTREB,8/3/2020,3,8,2020,11af,c,0.008
44,LTREB,8/3/2020,3,8,2020,12,a,0.01
45,LTREB,8/3/2020,3,8,2020,12,b,0.009
46,LTREB,8/3/2020,3,8,2020,12,c,0.01
47,LTREB,8/3/2020,3,8,2020,13,a,0.004
49,LTREB,8/3/2020,3,8,2020,13,c,0.008
50,LTREB,8/17/2020,17,8,2020,Blank,a,0.008
51,LTREB,8/17/2020,17,8,2020,1,a,0.041
52,LTREB,8/17/2020,17,8,2020,1,b,0.049
53,LTREB,8/17/2020,17,8,2020,1,c,0.057
54,LTREB,8/17/2020,17,8,2020,2,a,0.059
55,LTREB,8/17/2020,17,8,2020,2,b,0.065
56,LTREB,8/17/2020,17,8,2020,2,c,0.055
57,LTREB,8/17/2020,17,8,2020,3,a,0.02
58,LTREB,8/17/2020,17,8,2020,3,b,0.02
59,LTREB,8/17/2020,17,8,2020,3,c,0.019
60,LTREB,8/17/2020,17,8,2020,4,a,0.008
61,LTREB,8/17/2020,17,8,2020,4,b,0.008
62,LTREB,8/17/2020,17,8,2020,4,c,0.007
63,LTREB,8/17/2020,17,8,2020,5,a,0.043
64,LTREB,8/17/2020,17,8,2020,5,b,0.048
65,LTREB,8/17/2020,17,8,2020,5,c,0.047
66,LTREB,8/17/2020,17,8,2020,6,a,0.126
67,LTREB,8/17/2020,17,8,2020,6,b,0.115
68,LTREB,8/17/2020,17,8,2020,6,c,0.123
69,LTREB,8/17/2020,17,8,2020,7,a,0.074
70,LTREB,8/17/2020,17,8,2020,7,b,0.083
71,LTREB,8/17/2020,17,8,2020,7,c,0.067
72,LTREB,8/17/2020,17,8,2020,8,a,0.022
73,LTREB,8/17/2020,17,8,2020,8,b,0.017
74,LTREB,8/17/2020,17,8,2020,8,c,0.029
75,LTREB,8/17/2020,17,8,2020,8ad,a,0.069
76,LTREB,8/17/2020,17,8,2020,8ad,b,0.009
77,LTREB,8/17/2020,17,8,2020,8ad,c,0.009
78,LTREB,8/17/2020,17,8,2020,9,a,0.003
79,LTREB,8/17/2020,17,8,2020,9,b,0.003
80,LTREB,8/17/2020,17,8,2020,9,c,0.003
81,LTREB,8/17/2020,17,8,2020,9am,a,0.042
82,LTREB,8/17/2020,17,8,2020,9am,b,0.043
83,LTREB,8/17/2020,17,8,2020,9am,c,0.037
84,LTREB,8/17/2020,17,8,2020,10,a,0.011
85,LTREB,8/17/2020,17,8,2020,10,b,0.018
86,LTREB,8/17/2020,17,8,2020,10,c,0.015
87,LTREB,8/17/2020,17,8,2020,11,a,0.005
88,LTREB,8/17/2020,17,8,2020,11,b,0.005
89,LTREB,8/17/2020,17,8,2020,11,c,0.005
90,LTREB,8/17/2020,17,8,2020,11af,a,0.006
91,LTREB,8/17/2020,17,8,2020,11af,b,0.006
92,LTREB,8/17/2020,17,8,2020,11af,c,0.005
93,LTREB,8/17/2020,17,8,2020,12,a,0.009
94,LTREB,8/17/2020,17,8,2020,12,b,0.009
95,LTREB,8/17/2020,17,8,2020,12,c,0.009
96,LTREB,8/17/2020,17,8,2020,13,a,0.004
97,LTREB,8/17/2020,17,8,2020,13,b,0.004
98,LTREB,8/17/2020,17,8,2020,13,c,0.004
